matter,2.8088923076923082
judgment,3.288216560509554
party,2.2250894654439723
that the high court,1.7473684210526317
time of disposal,1.3333333333333333
first,1.9006367208168047
cost,1.2954397451466992
anil r dave,0.9166666666666666
order,5.472481489660944
orders,1.4936359300077826
such circumstance,0.5723905723905723
learned counsel,3.703333333333333
months,1.1938163721148947
circumstance,1.429931390219372
first appeal,1.112781954887218
directions,1.5134125183504605
anil,1.1751552795031055
months from the date,1.3333333333333333
opinion,1.4960606342789635
learned counsel for the parties,1.263157894736842
reasons,1.3749054007567938
further hearing,0.6666666666666666
disposal,1.1180555555555556
proceedings,1.7670925223666287
particular conclusion,0.3333333333333333
dave,0.5541026479241583
circumstances,1.3944461370073231
sure that the high court,0.5
high,5.367119186841496
above observation,0.6530612244897959
appeal,3.4125488033856883
date,6.195616975795285
direction,1.8495050210098996
above observations,1.0714285714285714
reason,2.6381270903010035
observations,0.7454584147497534
court,12.24425115501509
afresh,0.6891891891891891
record,2.5393414390845273
date of further hearing,0.5
month from the date,1.2222222222222223
hearing,0.9644508209787979
high court,7.7477477477477485
such circumstances,0.5729166666666666
parties,1.8210828547990157
leave,1.0147842365477848
counsel,2.2246780703440323
month,1.3454861111111112
costs,0.8167395522604189
first hearing,1.0
impugned judgment,2.0927152317880795
observation,0.7625074854374218
time,2.4764180952862667
conclusion,1.3883437407077015
